,,利用している        ,どちらともいえない  ,利用していない      ,無回答,ｎ
,今回調査（全体）,77.8,17.7,4.3,0.2,1741
業種別,情報・コンテンツ業,80.5,15.1,4.4,0,503
業種別,専門サービス業,77,19,3.4,0.6,617
業種別,技術サービス業,80.1,17,3,0,271
業種別,事業サービス業,73.9,19.5,6.7,0,329
特定10業種別,ソフトウェア業,79.6,14,6.4,0,235
特定10業種別,インターネット附随サービス業,84.6,13.5,1.9,0,52
特定10業種別,映像情報制作・配給業,86,12,2,0,50
特定10業種別,出版業,77.5,22.5,0,0,40
特定10業種別,税理士事務所,71.7,22,6.3,0,159
特定10業種別,デザイン業,76.7,20.9,1.2,1.2,86
特定10業種別,経営コンサルタント業,80.2,17.5,1.6,0.8,126
特定10業種別,建築設計業,77.4,19.2,3.4,0,146
特定10業種別,自動車整備業,73.9,17.4,8.7,0,23
特定10業種別,建物サービス業,67.6,25.4,7,0,71
従業者規模別,1～2人,75.3,19.1,5.5,0.1,696
従業者規模別,3～5人,77.3,18.2,4.5,0,418
従業者規模別,6～9人,77.2,18.5,3.7,0.5,189
従業者規模別,10～29人,81.1,15.6,2.5,0.8,243
従業者規模別,30人以上,84.7,13.1,2.3,0,176
年間売上高増減別（３年前）,大幅(10％以上)増加,80.9,14.4,4.8,0,188
年間売上高増減別（３年前）,やや(10％未満)増加,84.7,13.8,1.6,0,189
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,74.6,20.6,4.6,0.2,481
年間売上高増減別（３年前）,やや(10％未満)減少,76.1,17.9,6,0,218
年間売上高増減別（３年前）,大幅(10％以上)減少,78,17.1,4.3,0.5,578
年間売上高増減別（３年前）,３年前は未創業,82.6,8.7,8.7,0,23
売上高経常利益率別,黒字,78.6,17.1,4,0.2,1062
売上高経常利益率別,赤字,76.8,19,4,0.2,505
経常損益の変化別（３年前）,増益,79,16.9,3.5,0.5,367
経常損益の変化別（３年前）,横ばい,76.7,18.7,4.6,0,563
経常損益の変化別（３年前）,減益,77.9,17.4,4.5,0.1,705
経常損益の変,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,竹の塚,入谷町交番,131211,東京都,足立区,入谷９丁目,2018-11-22,20,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,舎人１丁目,2018-02-10,23,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,舎人５丁目,2018-09-19,09,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,古千谷本町４丁目,2015-01-01,00,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,竹の塚,古千谷駐在所,131211,東京都,足立区,西伊興４丁目,2017-12-15,00,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,城東,日曹橋交番,131083,東京都,江東区,南砂２丁目,2017-09-25,15,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,城東,日曹橋交番,131083,東京都,江東区,南砂２丁目,2018-02-10,23,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,城東,日曹橋交番,131083,東京都,江東区,南砂２丁目,2018-06-09,17,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,城東,葛西橋西交番,131083,東京都,江東区,北砂７丁目,2018-12-18,12,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,城東,砂町交番,131083,東京都,江東区,南砂１丁目,2018-06-08,18,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,城東,砂町交番,131083,東京都,江東区,南砂５丁目,2018-04-14,21,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,城東,砂町交番,131083,東京都,江東区,南砂５丁目,2018-11-26,19,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
